Date,Mid Point
1998-07-01,871.5
1998-07-02,870.5
1998-07-03,873
1998-07-06,877
1998-07-08,876.5
1998-07-09,850
1998-07-10,805
1998-07-13,776
1998-07-14,770.5
1998-07-15,777.5
1998-07-16,818.5
1998-07-17,865.5
1998-07-20,883.5
1998-07-21,875
1998-07-22,881
1998-07-23,908.5
1998-07-24,940
1998-07-27,994
1998-07-28,1012.5
1998-07-29,989.5
1998-07-30,955.5
1998-07-31,924
1998-08-03,892.5
1998-08-04,874.5
1998-08-05,895.5
1998-08-06,914
1998-08-07,947
1998-08-10,977
1998-08-11,968
1998-08-12,966
1998-08-13,971
1998-08-17,948
1998-08-18,943
1998-08-19,963.5
1998-08-20,979
1998-08-21,971
1998-08-24,977.5
1998-08-25,990
1998-08-26,992.5
1998-08-27,995.5
1998-08-28,983.5
1998-08-31,975.5
1998-09-01,974
1998-09-02,978.5
1998-09-03,978.5
1998-09-04,971.5
1998-09-07,976.5
1998-09-08,996.5
1998-09-09,1020.5
1998-09-10,1040
1998-09-11,1057.5
1998-09-14,1083
1998-09-15,1084.5
1998-09-16,1081.5
1998-09-17,1080
1998-09-18,1063.5
1998-09-21,1060.5
1998-09-22,1074
1998-09-23,1089.5
1998-09-24,1084.5
1998-09-25,1079.5
1998-09-28,1082.5
1998-09-29,1096.5
1998-09-30,1112
1998-10-01,1108
1998-10-02,1103.5
1998-10-05,1092.5
1998-10-06,1068.5
1998-10-07,1025
1998-10-08,979
1998-10-09,952
1998-10-12,897.5
1998-10-13,857.5
1998-10-14,873.5
1998-10-15,902.5
1998-10-16,880.5
1998-10-19,833.5
1998-10-20,818.5
1998-10-21,804.5
1998-10-22,803.5
1998-10-23,809.5
1998-10-26,824
1998-10-27,842
1998-10-28,831
1998-10-29,823
1998-10-30,836
1998-11-02,849.5
1998-11-03,855
1998-11-04,854
1998-11-05,856.5
1998-11-06,858
1998-11-10,903
1998-11-11,955
1998-11-12,965
1998-11-13,955
1998-11-16,942.5
1998-11-17,960.5
1998-11-18,969.5
1998-11-19,963.5
1998-11-20,977.5
1998-11-23,1014
1998-11-24,1025
1998-11-25,1012.5
1998-11-26,1029.5
1998-11-27,1040
1998-11-30,1043
1998-12-01,1056
1998-12-02,1066.5
1998-12-03,1057
1998-12-04,1010.5
1998-12-07,971.5
1998-12-08,958.5
1998-12-09,941.5
1998-12-10,939.5
1998-12-11,944
1998-12-14,950.5
1998-12-15,964
1998-12-16,951
1998-12-17,932.5
1998-12-18,934.5
1998-12-21,942
1998-12-22,947
1998-12-23,951.5
1998-12-24,952.5
1998-12-26,957
1998-12-28,959.5
1998-12-29,952.5
1998-12-30,949.5
1998-12-31,948
1999-01-02,948.5
1999-01-04,948
1999-01-05,935
1999-01-06,919
1999-01-07,906
1999-01-09,916
1999-01-11,933
1999-01-12,928.5
1999-01-13,922
1999-01-14,922.5
1999-01-18,928.5
1999-01-22,932
1999-01-25,931.5
1999-01-26,928
1999-01-27,923
1999-01-28,919.5
1999-01-29,909
1999-02-01,904.5
1999-02-02,895
1999-02-03,887
1999-02-04,880
1999-02-08,860
1999-02-09,863.5
1999-02-10,874.5
1999-02-11,868
1999-02-12,868.5
1999-02-15,893
1999-02-16,913
1999-02-17,915.5
1999-02-18,913.5
1999-02-19,912.5
1999-02-22,916.5
1999-02-23,925
1999-02-24,934.5
1999-02-25,932
1999-02-26,926
1999-03-01,929
1999-03-02,944
1999-03-03,953
1999-03-04,960.5
1999-03-05,977.5
1999-03-08,1001.5
1999-03-09,1028
1999-03-10,1058.5
1999-03-11,1070
1999-03-12,1056
1999-03-15,1060.5
1999-03-16,1062.5
1999-03-17,1058.5
1999-03-18,1058
1999-03-19,1053
1999-03-22,1060.5
1999-03-24,1074.5
1999-03-25,1064.5
1999-03-26,1053.5
1999-04-01,1058
1999-04-02,1055.5
1999-04-05,1047
1999-04-06,1039
1999-04-07,1042.5
1999-04-08,1042
1999-04-09,1028.5
1999-04-12,1007.5
1999-04-13,997.5
1999-04-14,1005
1999-04-15,1007.5
1999-04-16,1004
1999-04-19,1012
1999-04-20,1036.5
1999-04-21,1041.5
1999-04-22,1038
1999-04-23,1057.5
1999-04-28,1082
1999-04-29,1094
1999-04-30,1101.5
1999-05-03,1113
1999-05-04,1119.5
1999-05-05,1124
1999-05-06,1129.5
1999-05-07,1141
1999-05-10,1164
1999-05-11,1170
1999-05-12,1164.5
1999-05-13,1179.5
1999-05-14,1206
1999-05-17,1226
1999-05-18,1228
1999-05-19,1246
1999-05-20,1284
1999-05-21,1306.5
